,asin,Category,Clean_Reviews,predicted
149,B001GXRQW0,Giftcard,tried ipod daughter gift cards christmas turns one gift card per order call rep spoke acted generous allows customers combine credit cards gift cards one order repeatedly sited security reasons could one gift card time considering issued gift cards credit card dont understand cant figure security issues would allow actually things wouldnt thought would petty cause customers make multiple orders low cost items force cash credit payments higher cost ones but obviously case even irritating sell gift cards but couldnt two definitely not buying gift cards,Topic 3
150,B001GXRQW0,Giftcard,christmas gift last year hit happy got another one year,Topic 5
151,B001GXRQW0,Giftcard,card purchased christmas gift stepdaughter one biggest spenders actually got hooked even though dont shop christmas bay gifts gift cards thank,Topic 5
152,B001GXRQW0,Giftcard,gave christmas gift son lawhe loved decide get,Topic 3
153,B001GXRQW0,Giftcard,keep gift supposed go daughter texas but last one ill not going late but im resend explain birthday gift card damn late signed pissed,Topic 2
154,B001GXRQW0,Giftcard,nephew tried states isnt activated disappointed not issue,Topic 1
155,B001GXRQW0,Giftcard,certainly makes things even convenient appreciated works smoothly efficiently,Topic 3
156,B001GXRQW0,Giftcard,gave card gift right away recipient happy,Topic 3
157,B001GXRQW0,Giftcard,worked else want say getting pain,Topic 1
158,B001GXRQW0,Giftcard,received nice note thanking gift cardit deeply appreciated newly wed couple gave,Topic 3
159,B001GXRQW0,Giftcard,love get give gift card reminds place order instead driving europe summer home stuff rome romans cheers mark tahiliani jm2,Topic 3
160,B001GXRQW0,Giftcard,love gift cards pretty much name price want spend make wonderful christmas gifts,Topic 1
161,B001GXRQW0,Giftcard,bought gift appreciated wouldnt chance get whatever little heart desired,Topic 4
162,B001GXRQW0,Giftcard,list couldnt go wrong gift cards adult children perfect gift,Topic 4
163,B001GXRQW0,Giftcard,son laws loved way ever want merry christmas ho ho ho,Topic 5
164,B001GXRQW0,Giftcard,ordered gift card father christmas last week monday december oneday shipping made seem something could week christmas first processing error resend wednesday december today december nearly 45pm yet receive ups not updated scan package since december 56am supposedly truck delivery oneday shipping total joke case yes could done one email dad print but thought id something nicer could put card im sending card yet go get ups busy but company keep im honestly disappointed paying prime worth overall but im questioning whether renew next year,Topic 5
165,B001GXRQW0,Giftcard,gift cards debit kind lot send grandchildren birthdays special occasions know sure find something within large realm products hope books but junk thats parents problem,Topic 1
166,B001GXRQW0,Giftcard,friend bought kindle kindle fire perfect gift no time think thats best buying amazonfast service good packaging,Topic 2
167,B001GXRQW0,Giftcard,cant go wrong gift card everyone christmas list birthday list way say thank,Topic 2
168,B001GXRQW0,Giftcard,promised card many things gets choose wide variety,Topic 2
169,B001GXRQW0,Giftcard,needed great price definitely recommend looking,Topic 2
170,B001GXRQW0,Giftcard,sometimes dont know gift give someonethen light goes course ill amazoncom gift card cant go wrong wish someone would gift one,Topic 4
171,B001GXRQW0,Giftcard,received gift card gift course doesnt work no one complain convenient no number call rectify situation never gift card anybody,Topic 3
172,B001GXRQW0,Giftcard,easy gift someone shops frequently no sizes worry no returns store something else perfect gift,Topic 4
173,B001GXRQW0,Giftcard,perfect gift occasion birthdaysweddingsnew born babiesgraduationchristmasi love giftsthe perfect occasion gift always favorite give receive,Topic 4
174,B001GXRQW0,Giftcard,favorite online retailer find anything looking one spot really cant go wrong purchasing gift card gift,Topic 3
175,B001GXRQW0,Giftcard,response request would known recipient got gift certs accessibility fine end giver,Topic 5
176,B001GXRQW0,Giftcard,grand kids love gift option easy throughout year,Topic 1
177,B001GXRQW0,Giftcard,paper card make perfect sense thanks green solution card offered discount short expiration date but shopping easy frequent jumped right one per purchase would bought thanks loyalty continues increase savings account,Topic 4
178,B001GXRQW0,Giftcard,love receive gift cards contribute sports equipment apparel nephew loves,Topic 5
179,B001GXRQW0,Giftcard,way purchasing gift someone really likes read website easy navigate makes shopping much easier many times dont know except books,Topic 4
180,B001GXRQW0,Giftcard,wedding gift im sure accomplished mission wedding couple could get wanted,Topic 4
181,B001GXRQW0,Giftcard,later needed but ultimately no issues redeeming people previous posts excellent way give gift,Topic 5
182,B001GXRQW0,Giftcard,say easy prompt way give present recipient something really want,Topic 2
183,B001GXRQW0,Giftcard,kidding rate gift card nobody know wouldnt receive course gift card stars,Topic 4
184,B001GXRQW0,Giftcard,love order time offered promotion purchased least gift cards but yet receive promotional code,Topic 1
185,B001GXRQW0,Giftcard,whats better gift book someone want show appreciation pardon grammar useful item occasions thanks getting hooki couldnt think anything else,Topic 1
186,B001GXRQW0,Giftcard,easiest way send wedding gift simply click send would liked able create card send wish congratulation best wishes something accompany card delivered within day two fast easy good,Topic 5
187,B001GXRQW0,Giftcard,cant go wrong gift card great gift anyone fact feel free send one haha seriously even three year old gets gift cards uses,Topic 5
188,B001GXRQW0,Giftcard,gift family member items wanted purchase wanted get already picked wise choice anyone,Topic 4
189,B001GXRQW0,Giftcard,dont know get someone gift card perfect way give get exactly want,Topic 4
190,B001GXRQW0,Giftcard,christmas fast approaching would recommend anyone shopping list receive one one two girls kindle downloads much nothing cant find need,Topic 5
191,B001GXRQW0,Giftcard,say gift cards perfect gift let want takes little not much wrapping paper,Topic 4
192,B001GXRQW0,Giftcard,perfect gift anyone hard shop gives someone z selection no guessing people want,Topic 4
193,B001GXRQW0,Giftcard,no worrying returns exchanges giving gift theres enough make entire purchase choice even contribute nice amount larger purchase,Topic 1
194,B001GXRQW0,Giftcard,whats not love gift card but never ceases please perfect speedy delivery delighted recipient,Topic 3
195,B001GXRQW0,Giftcard,giving gift card perfect gift everyone loves gift usual answer gifts everyone,Topic 5
196,B001GXRQW0,Giftcard,not sure review mean gift card could anyone not always ask one youre ever loss want birthday christmas cant lose,Topic 4
197,B001GXRQW0,Giftcard,say gift cards guessed user able products without using credit card,Topic 2
198,B001GXRQW0,Giftcard,hi im writting review many times currier giftcard tellme never come want know happend pay,Topic 4
199,B001GXRQW0,Giftcard,order gift card whilebut look gift card generator online find faced hackers end codesi not blame thisit happened always give back moneyalso one star reviews never seen many stupid reviews lifesome true but tell people lying instead putting daughters account put husbands accountyeah going go million accounts find husbanddumb,Topic 3
200,B001GXRQW0,Giftcard,son said sent gift cards kids birthdays really great idea kids love doesnt cost young fortune,Topic 4
201,B001GXRQW0,Giftcard,theres really not much said gift card worth thing worked perfectly,Topic 5
202,B001GXRQW0,Giftcard,cafix ad pictured label hot iced cafix brown lid got cafix green lid makes hot cafix brown lid cafix makes hot cold cafix iced cafix heat water put container teaspoon cafix,Topic 5
203,B001GXRQW0,Giftcard,love gift cards got mother law easy load onto account,Topic 1
204,B001GXRQW0,Giftcard,hello gift card never return direction donde esta mi producto please gift card,Topic 1
205,B001GXRQW0,Giftcard,would books please dont know,Topic 4
206,B001GXRQW0,Giftcard,gift card great many ideas want but almost didnt get delivery ups think put wheel garbage sitting driveway reason even found decided weather nice putting garbage car inside large garbage driveway instead dropping trash inside house rained next day knows would seen,Topic 1
207,B001GXRQW0,Giftcard,ok gift card theres not much say but met expectations id get needed one,Topic 2
208,B001GXRQW0,Giftcard,love gift cards thing hate automatically take first payment gift card balance get one gift someone but run say baby wipes dont want gift balance baby wipes would rather keep balance aside something want opposed something need surely guys figure would make gift cards nearly perfect,Topic 4
209,B001GXRQW0,Giftcard,great idea aawl baby animal shower via bought gift card ship dog cat food ridiculously expensive would hoped could waived shipping fee since animal rescue,Topic 4
210,B001GXRQW0,Giftcard,gave research participants compensation participation study worked well no charge shipping none research participants problem codes working also no charge card bought visa cards would minimally cost card card purchasing card instead card,Topic 5
211,B001GXRQW0,Giftcard,always winner gift anyone uses internet buys things given received,Topic 1
212,B001GXRQW0,Giftcard,great card get one need one hell keep writing words damn damn damn,Topic 5
213,B001GXRQW0,Giftcard,pleased gift card purchase proceeded worth stuff overall,Topic 4
214,B001GXRQW0,Giftcard,family loves getting gift cards love never trouble one cards,Topic 1
215,B001GXRQW0,Giftcard,thing wrong dont tell give discount ok,Topic 4
216,B001GXRQW0,Giftcard,muy buenoo lo recomiendo excelente envio todooo estuvo finisimo excelente,Topic 1
217,B001GXRQW0,Giftcard,buenas noches compre un gc de entendi que la enviaran por correo ahora resulta que la enviaron florida el flete venezuela es muchisimooo ms caro que la tarjeta en si podria explicar que paso,Topic 1
218,B001GXRQW0,Giftcard,ive discovered offers everything one might want often available lower cost online stores brick mortar stores give gift card friends family distant locations knowing get want works especially well son family live small north carolina town doesnt offer variety retail stores larger community would,Topic 4
219,B001GXRQW0,Giftcard,sres gift card upon could not redeemed another account without authorization no claim code gift card amount need money back tell code gives card improperly crime thank,Topic 1
220,B001GXRQW0,Giftcard,card not recieved card not recieved card not recieved,Topic 1
221,B001GXRQW0,Giftcard,got exactly ordered friends worked not sure else say,Topic 5
222,B001GXRQW0,Giftcard,took gift card christmas party secret santa game people fighting great gift,Topic 5
223,B001GXRQW0,Giftcard,loved convenience getting mail didnt leave house credit card,Topic 1
224,B001GXRQW0,Giftcard,buena uanque no manejo muy bien la utilizacin podr utilizarla para proximas compras excelente entrega rpida segura los recomiendogracias,Topic 1
225,B001GXRQW0,Giftcard,convenient gift someone got nephew freak pleased right away instead going around shop restaurant specially gift card,Topic 3
226,B001GXRQW0,Giftcard,get rebate cards purchasing things love using every penny rebate cards one gift cards things best check process allows multiple cards totally awesome place things favorite online buying center,Topic 1
227,B001GXRQW0,Giftcard,beat gift card easy anything thats available lose,Topic 1
228,B001GXRQW0,Giftcard,awesome gift card best gift no idea give especially not limited one department store best worldwide warehouse,Topic 4
229,B001GXRQW0,Giftcard,bought brother sister birthday time gift card gift card though could boat parts,Topic 2
230,B001GXRQW0,Giftcard,specifically bought item dear friend coming town valentines day since likes products kindle greatly appreciated,Topic 2
231,B001GXRQW0,Giftcard,super,Topic 1
232,B001GXRQW0,Giftcard,gift someone else get credit shouldnt one things directly,Topic 1
233,B001GXRQW0,Giftcard,good afternoon could tell sent item not even received address indicated purchase,Topic 1
234,B001GXRQW0,Giftcard,hello awesome money free people oh also given people instead hours extra money junk dont even perfect,Topic 1
235,B001GXRQW0,Giftcard,allow us cards kindle account not want credit card else kids charge games,Topic 2
236,B001GXRQW0,Giftcard,gave away two cards christmas great know love someone not sure would,Topic 4
237,B001GXRQW0,Giftcard,excelente el producto lo recomiendo llego en buenas condiciones el empaque es muy bueno no estaba abierto tiempo,Topic 1
238,B001GXRQW0,Giftcard,niece kindle no credit card gift allowed fill kindle account money could books,Topic 2
239,B001GXRQW0,Giftcard,according ups tracking gift cards coffeyville ks week much next day air going part valentines present,Topic 1
240,B001GXRQW0,Giftcard,nice medium weight plastic easy read palette knife painting cash sucked magnetic strip also cut different shapes making texture paint,Topic 5
241,B001GXRQW0,Giftcard,awesome gave mom barnes noble gift card got also great valentines giftthis boss,Topic 3
242,B001GXRQW0,Giftcard,go wrong cards good visa card offers huge variety everyone find something spend,Topic 2
243,B001GXRQW0,Giftcard,always gift cards every year hand postman ups driver etc many not accept cash christmas always welcome gift,Topic 5
244,B001GXRQW0,Giftcard,love shopping line looking books grandsons new mini ipads christmas overwhelmed choices dont always make best picks often embarrassed misses wanted encourage read tablets not play also aware love receiving gift cards ordered one delivered daughters email boys choose books worked charm,Topic 1
245,B001GXRQW0,Giftcard,fine write word review gift card beyond dumb,Topic 1
246,B001GXRQW0,Giftcard,gift card success definitely purchasing future everyone family members love easy gift give thanks,Topic 1
247,B001GXRQW0,Giftcard,whats not allpurpose gift card biggest store planet lot easier giving say clothing might not even fit,Topic 2
248,B001GXRQW0,Giftcard,nothing say negative wise gift card mean really couldnt especially,Topic 2
249,B001GXRQW0,Giftcard,would highly recommend people especially know person kindel likes shop,Topic 4
250,B001GXRQW0,Giftcard,great gift would purchase need gift idea friend family,Topic 5
251,B001GXRQW0,Giftcard,gift card got stuck system somehow probably high volume xmas thing cust svc rep ellen called request explained happened apologized several times explained much obviously could advised cant reship due protocols but would cancel order issue refund could reorder nice professional gave promocredit troubles since xmas gift using credit ebooks new kindle paperwhite since many books im looking going pretty good love kindle awesome,Topic 2
252,B001GXRQW0,Giftcard,ordered gifts cards online stores not smaller price amounts ordering gift cards easy came next day would recommend everyone,Topic 1
253,B001GXRQW0,Giftcard,really not going take much time think mostly not paid write pr material,Topic 3
254,B001GXRQW0,Giftcard,loved choice purchasing gift card holidays time perfectly wrapped,Topic 3
255,B001GXRQW0,Giftcard,great gift idea shipped quickly ease ordering made nobrainier applied purchase,Topic 4
256,B001GXRQW0,Giftcard,gave puppy gift surprise took business days friend able immediately,Topic 3
257,B001GXRQW0,Giftcard,excited receive seventeen tastes far different mine choose present,Topic 2
258,B001GXRQW0,Giftcard,typical gift card not much rate comment item,Topic 1
259,B001GXRQW0,Giftcard,love someone uses time gift giving send gift card,Topic 1
